﻿序號,縣市別代碼,機關代碼,市話,傳真,年,月,日,時,分,縣市,區,死亡數量,受傷數量,2-30,天候,道路照明設備,道路類別,道路速限,道路型態,事故位置,路面鋪裝,路面狀態,路面缺陷,障礙物,視距,號誌種類,號誌動作,分向設施,快車道或一般車道間,快慢車道間,路面邊線,事故類型及型態,受傷程度,主要傷處,保護裝備,行動電話或功能裝置,當事者區分（類別）,車輛用途,當事者行動狀態,駕照狀態,駕照種類,飲酒情形,車輛撞擊部位最初,車輛撞擊部位其他,肇事因素個別,肇事因素主要,肇事逃逸,職業,共享經濟或外送平台,GPS座標X,GPS座標Y,事故類別
61,66000,387130000C,(04)23274275,(04)23288582,2024,11,1,7,35,臺中市,北屯區,0,0,0,5,,,50,,,,,,,,,,,,,,13,,,,,B03,,,1,,1,,,7,,1,12,4,120.718694,24.160701,4
62,66000,387130000C,(04)23274275,(04)23288582,2024,11,1,7,36,臺中市,潭子區,0,0,0,5,,,60,,,,,,,,,,,,,,,,,,,B03,,,1,,2,,,59,,1,13,4,120.702687,24.190188,3
63,66000,387130000C,(04)23274275,(04)23288582,2024,11,1,7,37,臺中市,北屯區,0,0,0,5,,,50,,,,,,,,,,,,,,,,,,,B12,,,1,,2,,,51,51,1,6,4,120.691678,24.16305,3
64,66000,387130000C,(04)23274275,(04)23288582,2024,11,1,7,38,臺中市,西屯區,0,0,0,7,,,60,,,,,,,,,,,,,,13,,,,,B03,,,1,,1,,,7,,1,13,4,120.64071,24.16806,3
65,66000,387130000C,(04)23274275,(04)23288582,2024,11,1,7,38,臺中市,沙鹿區,0,0,0,5,,,50,,,,,,,,,,,,,,,,,,,C03,,,1,,2,,,59,59,1,6,4,120.608159,24.246453,3
66,66000,387130000C,(04)23274275,(04)23288582,2024,11,1,7,38,臺中市,東勢區,0,1,0,5,3,6,70,3,1,1,4,4,6,6,1,1,10,4,4,1,16,3,10,3,1,B03,7,5,1,8,2,6,,47,47,1,12,4,120.82458,24.25692,2
67,66000,387130000C,(04)23274275,(04)23288582,2024,11,1,7,39,臺中市,后里區,0,1,0,5,2,6,50,13,14,1,4,4,6,6,4,4,9,5,5,1,26,2,9,3,1,B12,7,9,1,8,2,2,,84,84,1,12,4,120.68577,24.291386,2
68,66000,387130000C,(04)23274275,(04)23288582,2024,11,1,7,40,臺中市,西屯區,0,1,0,7,2,6,50,13,9,1,5,4,6,6,4,4,10,4,5,1,16,3,10,3,1,B03,7,6,1,8,1,5,,20,20,1,13,4,120.624663,24.18466,2
69,66000,387130000C,(04)23274275,(04)23288582,2024,11,1,7,40,臺中市,大里區,0,1,0,5,3,6,60,11,9,1,4,4,6,6,4,4,1,4,4,1,12,3,10,3,1,B12,7,9,1,6,2,8,,84,84,1,6,4,120.691073,24.100696,2
70,66000,387130000C,(04)23274275,(04)23288582,2024,11,1,7,40,臺中市,豐原區,0,0,0,5,,,50,,,,,,,,,,,,,,12,,,,,B03,,,1,,2,,,40,,1,12,4,120.723585,24.2445,3
71,66000,387130000C,(04)23274275,(04)23288582,2024,11,1,7,40,臺中市,神岡區,0,1,0,7,2,6,50,3,2,1,4,4,6,6,4,4,5,4,4,2,18,2,9,2,1,C03,7,9,1,10,2,14,,84,84,1,6,4,120.681917,24.247318,2
72,66000,387130000C,(04)23274275,(04)23288582,2024,11,1,7,42,臺中市,北屯區,0,1,0,5,2,6,50,5,1,1,4,4,6,6,2,1,5,2,5,2,18,2,9,2,1,C03,7,5,1,10,2,12,,84,84,1,12,4,120.73042,24.177167,2
73,66000,387130000C,(04)23274275,(04)23288582,2024,11,1,7,42,臺中市,西屯區,0,0,0,5,,,80,,,,,,,,,,,,,,13,,,,,B03,,,1,,2,,,7,,1,12,4,120.653637,24.198887,3
74,66000,387130000C,(04)23274275,(04)23288582,2024,11,1,7,43,臺中市,北屯區,0,1,0,5,1,6,50,5,2,1,4,2,6,6,1,1,5,4,5,2,18,2,9,1,1,C03,7,6,1,10,1,14,,84,84,1,13,4,120.73042,24.177167,2
75,66000,387130000C,(04)23274275,(04)23288582,2024,11,1,7,43,臺中市,大里區,0,1,0,7,2,6,50,13,7,1,5,4,6,6,4,4,1,4,4,1,17,3,10,1,1,C03,7,8,1,10,2,16,,40,40,1,12,4,120.665287,24.106899,2
76,66000,387130000C,(04)23274275,(04)23288582,2024,11,1,7,44,臺中市,豐原區,0,0,0,5,,,50,,,,,,,,,,,,,,13,,,,,B03,,,1,,2,,,84,84,1,12,4,120.739013,24.262993,3
77,66000,387130000C,(04)23274275,(04)23288582,2024,11,1,7,44,臺中市,豐原區,0,1,0,5,2,6,50,4,1,1,4,4,6,6,2,1,1,4,5,1,16,2,9,2,1,C03,7,6,1,10,2,12,,48,48,1,12,4,120.720173,24.263174,2
78,66000,387130000C,(04)23274275,(04)23288582,2024,11,1,7,45,臺中市,大雅區,0,1,0,5,2,6,30,3,2,1,4,4,6,6,4,4,10,4,5,1,17,3,10,3,1,B03,7,14,1,8,2,2,,76,76,1,12,4,120.644647,24.229168,2
79,66000,387130000C,(04)23274275,(04)23288582,2024,11,1,7,45,臺中市,大雅區,0,0,0,5,,,50,,,,,,,,,,,,,,,,,,,C03,,,1,,2,,,84,84,1,12,4,120.648289,24.226613,3
80,66000,387130000C,(04)23274275,(04)23288582,2024,11,1,7,45,臺中市,大雅區,0,0,0,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86,,1,,,120.640359,24.208916,3
81,66000,387130000C,(04)23274275,(04)23288582,2024,11,1,7,45,臺中市,北屯區,0,0,0,5,,,50,,,,,,,,,,,,,,,,,,,B03,,,1,,2,,,84,,1,12,4,120.670086,24.174474,3
82,66000,387130000C,(04)23274275,(04)23288582,2024,11,1,7,46,臺中市,大里區,0,0,0,5,,,30,,,,,,,,,,,,,,,,,,,B03,,,1,,2,,,8,,1,12,4,120.708663,24.09033,3
83,66000,387130000C,(04)23274275,(04)23288582,2024,11,1,7,47,臺中市,東區,0,0,0,7,,,50,,,,,,,,,,,,,,,,,,,C03,,,1,,2,,,15,15,1,12,4,120.691673,24.127677,3
84,66000,387130000C,(04)23274275,(04)23288582,2024,11,1,7,48,臺中市,南區,0,1,0,5,3,6,30,3,9,1,4,4,6,6,4,4,10,5,5,2,17,3,10,1,1,C04,7,6,1,10,11,16,,48,48,1,13,4,120.658741,24.118108,2
85,66000,387130000C,(04)23274275,(04)23288582,2024,11,1,7,48,臺中市,太平區,0,0,0,5,,,30,,,,,,,,,,,,,,,,,,,B03,,,1,,2,,,8,,1,6,4,120.711994,24.149418,3
86,66000,387130000C,(04)23274275,(04)23288582,2024,11,1,7,48,臺中市,豐原區,0,1,0,5,2,6,50,13,9,1,4,4,6,6,4,4,5,4,5,1,17,3,10,5,4,B03,7,9,1,8,4,2,,53,53,1,12,4,120.720988,24.268078,2
87,66000,387130000C,(04)23274275,(04)23288582,2024,11,1,7,49,臺中市,潭子區,0,2,0,5,2,6,30,13,9,1,4,4,6,6,4,4,10,5,5,1,11,2,5,2,1,C03,7,9,1,10,2,12,,85,85,1,13,4,120.695912,24.226116,2
88,66000,387130000C,(04)23274275,(04)23288582,2024,11,1,7,49,臺中市,北屯區,0,1,0,5,3,6,50,4,1,1,4,4,6,6,4,4,10,5,5,2,17,2,9,2,1,C03,7,9,1,10,2,12,,6,6,1,6,4,120.696371,24.182469,2
89,66000,387130000C,(04)23274275,(04)23288582,2024,11,1,7,50,臺中市,太平區,0,1,0,5,2,6,30,18,24,1,4,4,6,6,4,4,5,2,4,1,17,2,8,1,1,C03,7,15,1,10,2,12,,84,84,1,12,4,120.72621,24.150011,2
90,66000,387130000C,(04)23274275,(04)23288582,2024,11,1,7,50,臺中市,太平區,0,0,0,5,2,6,40,,,,,,,,,,,,,,,,,,,B03,,,1,,2,1,,84,84,1,12,4,120.724715,24.111666,3
91,66000,387130000C,(04)23274275,(04)23288582,2024,11,1,7,50,臺中市,外埔區,0,0,0,5,,,50,,,,,,,,,,,,,,11,,,,,B03,,,1,,2,,,87,87,1,12,4,120.659319,24.354791,3
92,66000,387130000C,(04)23274275,(04)23288582,2024,11,1,7,51,臺中市,大里區,0,0,0,5,,,50,,,,,,,,,,,,,,13,,,,,B03,,,1,,1,,,20,,1,6,4,120.684074,24.091096,3
93,66000,387130000C,(04)23274275,(04)23288582,2024,11,1,7,52,臺中市,潭子區,0,1,0,5,3,6,60,13,8,1,4,4,6,6,4,4,1,4,4,1,18,2,9,2,1,C03,7,9,1,10,2,14,,59,59,1,13,4,120.688948,24.219951,2
94,66000,387130000C,(04)23274275,(04)23288582,2024,11,1,7,52,臺中市,南區,0,1,0,5,2,6,50,3,1,1,4,4,6,6,4,4,10,5,5,2,13,2,1,3,1,B03,7,9,1,8,2,8,,7,7,1,12,4,120.670138,24.11185,2
95,66000,387130000C,(04)23274275,(04)23288582,2024,11,1,7,52,臺中市,西屯區,0,1,0,5,3,6,50,13,9,1,4,4,6,6,4,4,1,4,5,1,17,2,9,2,1,C03,7,9,1,10,2,11,,7,7,1,12,4,120.65172,24.165817,2
96,66000,387130000C,(04)23274275,(04)23288582,2024,11,1,7,53,臺中市,潭子區,0,0,0,5,,,50,,,,,,,,,,,,,,,,,,,B03,,,1,,2,,,26,,1,13,4,120.705472,24.211539,3
97,66000,387130000C,(04)23274275,(04)23288582,2024,11,1,7,53,臺中市,中區,0,1,0,5,2,6,50,4,2,1,4,4,6,6,1,1,5,4,5,2,13,2,8,2,1,C03,7,9,1,10,2,11,,84,84,1,13,4,120.676226,24.141395,2
98,66000,387130000C,(04)23274275,(04)23288582,2024,11,1,7,53,臺中市,北屯區,0,1,0,5,1,6,50,3,2,1,4,4,6,6,4,4,5,4,4,2,13,2,9,1,1,C03,7,9,1,10,2,11,,7,7,1,13,4,120.66758,24.18537,2
99,66000,387130000C,(04)23274275,(04)23288582,2024,11,1,7,54,臺中市,太平區,0,1,0,5,2,6,50,4,1,1,4,4,6,6,1,1,10,5,5,2,17,2,8,5,4,C03,7,9,1,10,2,16,,21,21,1,6,4,120.710101,24.13483,2
100,66000,387130000C,(04)23274275,(04)23288582,2024,11,1,7,54,臺中市,后里區,0,0,0,6,,,50,,,,,,,,,,,,,,2,,,,,B03,,,1,,2,,,47,,1,13,4,120.718342,24.311037,3
101,66000,387130000C,(04)23274275,(04)23288582,2024,11,1,7,55,臺中市,北屯區,0,1,0,5,3,6,50,3,1,1,4,4,6,6,4,4,5,5,5,2,12,3,10,3,1,B12,7,5,1,8,2,5,,14,14,1,6,4,120.692405,24.164935,2
102,66000,387130000C,(04)23274275,(04)23288582,2024,11,1,7,55,臺中市,梧棲區,0,0,0,5,,,50,,,,,,,,,,,,,,13,,,,,B03,,,1,,1,,,7,,1,6,4,120.540854,24.24977,3
103,66000,387130000C,(04)23274275,(04)23288582,2024,11,1,7,59,臺中市,潭子區,0,0,0,5,,,50,,,,,,,,,,,,,,,,,,,C03,,,1,,2,,,7,,1,13,4,120.717781,24.197709,3
104,66000,387130000C,(04)23274275,(04)23288582,2024,11,1,7,59,臺中市,北屯區,0,0,0,5,,,50,,,,,,,,,,,,,,17,,,,,B03,,,1,,1,,,45,45,1,12,4,120.722582,24.169713,3
105,66000,387130000C,(04)23274275,(04)23288582,2024,11,1,8,0,臺中市,西屯區,0,0,0,5,,,50,,,,,,,,,,,,,,13,,,,,C03,,,3,,1,,,7,,1,13,4,120.61548,24.186513,3
106,66000,387130000C,(04)23274275,(04)23288582,2024,11,1,8,0,臺中市,龍井區,0,1,0,5,2,6,40,13,8,1,4,4,6,6,4,4,10,4,1,2,18,2,9,1,1,C03,7,9,1,10,2,16,,85,85,1,6,4,120.580259,24.187953,2
107,66000,387130000C,(04)23274275,(04)23288582,2024,11,1,8,1,臺中市,東區,0,0,0,5,,,50,,,,,,,,,,,,,,13,,,,,B03,,,1,,1,,,7,,1,12,4,120.685182,24.130688,3
108,66000,387130000C,(04)23274275,(04)23288582,2024,11,1,8,1,臺中市,大里區,0,0,0,5,,,50,,,,,,,,,,,,,,14,,,,,C03,,,1,,2,,,49,,1,12,4,120.682029,24.076667,3
109,66000,387130000C,(04)23274275,(04)23288582,2024,11,1,8,2,臺中市,北屯區,0,0,0,5,,,50,,,,,,,,,,,,,,13,,,,,B03,,,1,,1,,,59,59,1,12,4,120.671772,24.180258,3
110,66000,387130000C,(04)23274275,(04)23288582,2024,11,1,8,2,臺中市,北屯區,0,1,0,5,2,6,50,4,2,1,4,4,6,6,2,1,10,5,5,2,14,3,10,3,1,B03,7,2,1,8,2,3,,49,49,1,6,4,120.69771,24.170489,2
